AUC,RECALL,F-0.5,F-1,F-2,TN,FN,FP,TP,MODEL,N_NEG,N_POS,DS,CENARIO
0.9943613879660392,0.9888888888888888,0.9801762114537445,0.9834254143646408,0.9866962305986696,12038.0,1.0,2.0,89.0,XGB,12040,90,105,Cenário 1
0.9305340889575819,0.8610681779151641,0.9687391321148421,0.9253483436375379,0.8856779481382041,10028.0,0.0,1618.0,49.0,FRBS,11646,49,106,Cenário 1
0.9825853808881018,0.9772727272727272,0.2756410256410257,0.3771929824561404,0.5972222222222222,11510.0,1.0,141.0,43.0,LogClass,11651,44,106,Cenário 1
0.6931818181818181,0.3863636363636364,0.7589285714285714,0.5573770491803279,0.4404145077720207,11651.0,27.0,0.0,17.0,MLP,11651,44,106,Cenário 1
1.0,1.0,1.0,1.0,1.0,11651.0,0.0,0.0,44.0,RF,11651,44,106,Cenário 1
0.5,0.0,0.0,0.0,0.0,11651.0,44.0,0.0,0.0,SVM,11651,44,106,Cenário 1
0.9999570852287356,1.0,0.982142857142857,0.9887640449438202,0.9954751131221716,11650.0,0.0,1.0,44.0,XGB,11651,44,106,Cenário 1
0.49702639976791396,0.9940527995358279,0.998688429029437,0.9969450101833001,0.995207667731629,13706.0,2.0,82.0,0.0,FRBS,13788,2,107,Cenário 1
0.9858945536297048,1.0,0.003203074951953876,0.005115089514066497,0.012690355329949237,13400.0,0.0,389.0,1.0,LogClass,13789,1,107,Cenário 1
0.5,0.0,0.0,0.0,0.0,13789.0,1.0,0.0,0.0,MLP,13789,1,107,Cenário 1
0.5,0.0,0.0,0.0,0.0,13789.0,1.0,0.0,0.0,RF,13789,1,107,Cenário 1
0.5,0.0,0.0,0.0,0.0,13789.0,1.0,0.0,0.0,SVM,13789,1,107,Cenário 1
0.5,0.0,0.0,0.0,0.0,13789.0,1.0,0.0,0.0,XGB,13789,1,107,Cenário 1
0.75159534965286,0.665162530291635,0.906626574637236,0.7979949874686719,0.7126103382213391,7960.0,23.0,4007.0,119.0,FRBS,11967,142,108,Cenário 1
0.9984543403793132,1.0,0.8254716981132076,0.8832807570977919,0.949796472184532,11932.0,0.0,37.0,140.0,LogClass,11969,140,108,Cenário 1
0.9999164508313144,1.0,0.9887005649717514,0.9929078014184396,0.9971509971509972,11967.0,0.0,2.0,140.0,MLP,11969,140,108,Cenário 1
1.0,1.0,1.0,1.0,1.0,11969.0,0.0,0.0,140.0,RF,11969,140,108,Cenário 1
0.6857142857142857,0.37142857142857133,0.7471264367816092,0.5416666666666666,0.4248366013071895,11969.0,88.0,0.0,52.0,SVM,11969,140,108,Cenário 1
1.0,1.0,1.0,1.0,1.0,11969.0,0.0,0.0,140.0,XGB,11969,140,108,Cenário 1
0.7119065668530279,0.923813133706055,0.9806860476813201,0.958556609802861,0.937403846153846,9749.0,39.0,804.0,39.0,FRBS,10553,78,109,Cenário 1
0.9972522266439264,1.0,0.6239870340356565,0.7264150943396227,0.8690744920993229,10496.0,0.0,58.0,77.0,LogClass,10554,77,109,Cenário 1
0.7662337662337662,0.5324675324675324,0.8506224066390041,0.6949152542372882,0.5873925501432664,10554.0,36.0,0.0,41.0,MLP,10554,77,109,Cenário 1
